ProductCode,Sk__c,Name,Model__c,Name_EN__c,Sales_price__c,Sales_currency__c,Purchase_price__c,Purchase_currency__c,IsActive,Description,Import_ID__c,Salesforce_ID
X17.16,400,BATMFour BT4_I600R_O2000_NFC,BATMFour,BT4_I600R_O2000_NFC,12499,USD,,,True,BATMFour BT4_I600R_O2000_NFC,PROD-032,01tJ9000001Bh9GIAS
X6.041,400,BATMThree BT3_SAFE_I1200_O0,BATMThree,BT3_SAFE_I1200_O0,8499,USD,,,True,BATMThree BT3_SAFE_I1200_O0,PROD-033,01tJ9000001BgsuIAC
X6.047,400,BATMThree BT3_SAFE_I1200_O0_NFC,BATMThree,BT3_SAFE_I1200_O0_NFC,8799,USD,,,True,BATMThree BT3_SAFE_I1200_O0_NFC,PROD-034,01tJ9000001Bh3RIAS
X6.042,400,BATMThree BT3_SAFE_I1200_O1000,BATMThree,BT3_SAFE_I1200_O1000,9899,USD,,,True,BATMThree BT3_SAFE_I1200_O1000,PROD-035,01tJ9000001BgT6IAK
X6.048,400,BATMThree BT3_SAFE_I1200_O1000_NFC,BATMThree,BT3_SAFE_I1200_O1000_NFC,10199,USD,,,True,BATMThree BT3_SAFE_I1200_O1000_NFC,PROD-036,01tJ9000001Bh63IAC
X6.043,400,BATMThree BT3_SAFE_I1200_O1500,BATMThree,BT3_SAFE_I1200_O1500,10299,USD,,,True,BATMThree BT3_SAFE_I1200_O1500,PROD-037,01tJ9000001BhJSIA0
X6.049,400,BATMThree BT3_SAFE_I1200_O1500_NFC,BATMThree,BT3_SAFE_1200_O1500_NFC,10599,USD,,,True,BATMThree BT3_SAFE_I1200_O1500_NFC,PROD-038,01tJ9000001BhDlIAK
X6.044,400,BATMThree BT3_SAFE_I1200_O2000,BATMThree,BT3_SAFE_I1200_O2000,10799,USD,,,True,BATMThree BT3_SAFE_I1200_O2000,PROD-039,01tJ9000001BhCcIAK
X6.050,400,BATMThree BT3_SAFE_I1200_O2000_NFC,BATMThree,BT3_SAFE_I1200_O2000_NFC,11099,USD,,,True,BATMThree BT3_SAFE_I1200_O2000_NFC,PROD-040,01tJ9000001Bh1yIAC
X6.045,400,BATMThree BT3_SAFE_I1200_O2500,BATMThree,BT3_SAFE_I1200_O2500,11199,USD,,,True,BATMThree BT3_SAFE_I1200_O2500,PROD-041,01tJ9000001BgnyIAC
x6.051,400,BATMThree BT3_SAFE_I1200_O2500_NFC,BATMThree,BT3_SAFE_I1200_O2500_NFC,11499,USD,,,True,BATMThree BT3_SAFE_I1200_O2500_NFC,PROD-042,01tJ9000001BhJXIA0
X6.046,400,BATMThree BT3_SAFE_I1200_O3000,BATMThree,BT3_SAFE_I1200_O3000,11699,USD,,,True,BATMThree BT3_SAFE_I1200_O3000,PROD-043,01tJ9000001BhJcIAK
X6.052,400,BATMThree BT3_SAFE_I1200_O3000_NFC,BATMThree,BT3_SAFE_I1200_O3000_NFC,11999,USD,,,True,BATMThree BT3_SAFE_I1200_O3000_NFC,PROD-044,01tJ9000001BhHNIA0
X6.054,400,BATMThree BT3_SAFE_I1200R_O1000,BATMThree,BT3_SAFE_I1200R_O1000,10599,USD,,,True,BATMThree BT3_SAFE_I1200R_O1000,PROD-045,01tJ9000001BhJhIAK
X6.060,400,BATMThree BT3_SAFE_I1200R_O1000_NFC,BATMThree,BT3_SAFE_I1200R_O1000_NFC,10899,USD,,,True,BATMThree BT3_SAFE_I1200R_O1000_NFC,PROD-046,01tJ9000001BhJmIAK
X6.053,400,BATMThree BT3_SAFE_I1200R_O120,BATMThree,BT3_SAFE_I1200R_O120,9299,USD,,,True,BATMThree BT3_SAFE_I1200R_O120,PROD-047,01tJ9000001Bh7oIAC
